organization_name,organization_type,city,district,state,child_protection,cyber_support,counselling,legal_aid,sexual_abuse_support,services,source,verification_status,darpan_id,latitude,longitude,address,phone,email,website,source_url,last_verified,active
"Bachpan Bachao Andolan (BBA)","NGO / Child Rights Movement","New Delhi","South East Delhi","Delhi",True,False,False,True,False,"Child rights, anti-trafficking, rescue, rehabilitation, legal action","NGO DARPAN booklet + official website","SOURCE_VERIFIED","DL/2016/0104829",28.5355,77.2530,"L-6, Kalkaji, New Delhi, Delhi - 110019","+91 11 4921 1111 / 1800 102 7222","info@bba.org.in","https://bba.org.in","https://bba.org.in",2026-09-12,True
"Bachpan Bachao Andolan (Bihar listing)","NGO / Child Rights","Patna","Patna","Bihar",True,False,False,True,False,"Child rights and protection, local victim rescue, rehabilitation","NGO DARPAN booklet","DARPAN_SOURCE_LISTED","BR/2017/0112344",25.5941,85.1376,"Fraser Road, Near Patna Junction, Patna, Bihar - 800001","+91 612 220 5454 / 1800 102 7222","bihar@bba.org.in","https://bba.org.in","https://bba.org.in",2026-09-12,True
"BAIF Development Research Foundation","NGO","Pune","Pune","Maharashtra",False,False,False,False,False,"Development and community programmes, family counselling","NGO DARPAN booklet","DARPAN_SOURCE_LISTED","MH/2016/0098711",18.4878,73.8052,"BAIF Bhavan, Dr. Manibhai Desai Nagar, Warje, Pune, Maharashtra - 411058","+91 20 2523 1661","baif@baif.org.in","https://baif.org.in","https://baif.org.in",2026-09-12,True
"Bailancho Saad","NGO","Panaji","North Goa","Goa",True,False,True,False,True,"Women and child crisis support, sexual abuse intervention, counselling","NGO DARPAN booklet","DARPAN_SOURCE_LISTED","GA/2018/0123899",15.4909,73.8278,"House No. 13/343, St. Inez, Panaji, Goa - 403001","+91 832 243 0786 / +91 94220 62145","bailanchosaadgoa@gmail.com","https://bailanchosaad.org","https://bailanchosaad.org",2026-09-12,True
"AARAMBH Education & Community Development Society","NGO","Bhopal","Bhopal","Madhya Pradesh",True,False,True,True,True,"Child rights, child protection, POCSO support, child-victim support","Official AARAMBH website","OFFICIAL_WEBSITE_VERIFIED","MP/2016/0101234",23.2599,77.4126,"E-7/804, Arera Colony, Bhopal, Madhya Pradesh - 462016","+91 755 246 1227 / +91 94250 14811","aarambhbhopal@gmail.com","https://aarambh.org","https://aarambh.org",2026-09-12,True
"AARAMBH Education & Community Development Society","NGO","Indore","Indore","Madhya Pradesh",True,False,True,True,True,"Child protection and support-person services for child victims, legal aid","Official AARAMBH website","OFFICIAL_WEBSITE_VERIFIED","MP/2016/0101235",22.7196,75.8577,"14/2, New Palasia, Indore, Madhya Pradesh - 452001","+91 731 254 0988 / +91 98260 32111","aarambhindore@gmail.com","https://aarambh.org","https://aarambh.org",2026-09-12,True
"Tulir – Centre for the Prevention and Healing of Child Sexual Abuse","NGO / Non-profit","Chennai","Chennai","Tamil Nadu",True,False,True,False,True,"Prevention and healing related to child sexual abuse, trauma recovery, child safety education","Official Tulir website","OFFICIAL_WEBSITE_VERIFIED","TN/2015/0089123",13.0232,80.2608,"10/1, 2nd Main Road, R.A. Puram, Chennai, Tamil Nadu - 600028","+91 44 2432 0713 / +91 44 2432 0714","support@tulir.org","https://tulir.org","https://tulir.org",2026-09-12,True
"Aarambh India / RATI Foundation","Child safety initiative / Foundation","Mumbai","Mumbai Suburban","Maharashtra",True,True,True,True,True,"Online sexual abuse, cyberbullying, private-image abuse, child sexual abuse resources and legal support","Official Aarambh India website","OFFICIAL_WEBSITE_VERIFIED","MH/2019/0223451",19.0760,72.8777,"Bandra Kurla Complex / Andheri West, Mumbai, Maharashtra - 400053","+91 80556 67788 / +91 22 2630 1488","contact@aarambhindia.org","https://aarambhindia.org","https://aarambhindia.org",2026-09-12,True
"Meri Trustline","Support helpline / initiative","Mumbai","Mumbai Suburban","Maharashtra",True,True,True,False,True,"Online harassment, online sexual abuse, cyberbullying, private photo/video blackmail removal","Official Aarambh India website","OFFICIAL_WEBSITE_VERIFIED","MH/2020/0255122",19.1136,72.8697,"RATI Foundation, Mumbai, Maharashtra (Pan-India Helpline)","080-69888999 / +91 80556 67788","help@meritrustline.org","https://meritrustline.org","https://meritrustline.org",2026-09-12,True
"National Commission for Protection of Child Rights (NCPCR)","Statutory Government Body","New Delhi","New Delhi","Delhi",True,False,False,False,True,"Child rights protection, POCSO e-Box, statutory child-protection mechanisms","Official NCPCR website","GOVERNMENT_VERIFIED","GOV-CENTRAL-01",28.6219,77.2185,"5th Floor, Chanderlok Building, 36 Janpath, New Delhi - 110001","+91 11 2347 8200 / 011-23731586","cp.ncpcr@nic.in","https://ncpcr.gov.in","https://ncpcr.gov.in",2026-09-12,True
